TAX_ID,MUNI,USE,GROUP,SCH_DIST,TOTAL_AV
31150001300000150090000000,SYRACUSE,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SYRACUSE,78000
31150002400000100060000000,SYRACUSE,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SYRACUSE,105000
31150004200000020040000000,SYRACUSE,APARTMENT,RESIDENTIAL,SYRACUSE,270000
31150004400000010180000000,SYRACUSE,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SYRACUSE,131000
31150005200000030120000000,SYRACUSE,TWO FAMILY RESIDENCE,RESIDENTIAL,SYRACUSE,156000
31150006700000200350000000,SYRACUSE,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SYRACUSE,60000
31150006800000080100000000,SYRACUSE,RESIDENTIAL VACANT LAND,VACANT,SYRACUSE,8300
31150007400000120140000000,SYRACUSE,RESIDENTIAL VACANT LAND,VACANT,SYRACUSE,400
31150007500000160200000000,SYRACUSE,RESIDENTIAL VACANT LAND,VACANT,SYRACUSE,7000
31150007800000070200000000,SYRACUSE,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SYRACUSE,47000
31150008300000120470000000,SYRACUSE,TWO FAMILY RESIDENCE,RESIDENTIAL,SYRACUSE,37100
31150008600000220010000000,SYRACUSE,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SYRACUSE,10000
31150008600000220230000000,SYRACUSE,RESIDENTIAL VACANT LAND,VACANT,SYRACUSE,2000
31150008600000260050000000,SYRACUSE,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SYRACUSE,25000
31150009200000260110000000,SYRACUSE,RESIDENTIAL VACANT LAND,VACANT,SYRACUSE,6500
31150009400000200020000000,SYRACUSE,PARKING LOT,COMMERCIAL,SYRACUSE,90000
31150010400000200010010000,SYRACUSE,DISTRIBUTION FACILITY,COMMERCIAL,SYRACUSE,491400
31150010600000040020000000,SYRACUSE,1 OCCUPANT SM STRUCTURE,COMMERCIAL,SYRACUSE,90500
