month,day,hour,usage
1,1,0,0.2520833333333333
1,1,1,0.24253333333333338
1,1,2,0.34459999999999985
1,1,3,0.27780000000000005
1,1,4,0.24478333333333346
1,1,5,0.7123499999999999
1,1,6,0.7090666666666668
1,1,7,0.6025333333333334
1,1,8,0.3045166666666668
1,1,9,0.2398333333333333
1,1,10,0.23599999999999988
1,1,11,0.22093333333333334
1,1,12,0.21621666666666675
1,1,13,0.22925000000000006
1,1,14,0.24180000000000001
1,1,15,0.2275333333333333
1,1,16,0.21483333333333327
1,1,17,0.5032666666666666
1,1,18,0.4379499999999999
1,1,19,0.7527833333333334
1,1,20,1.7109166666666673
1,1,21,2.5645166666666657
1,1,22,0.9509666666666671
1,1,23,0.43880000000000025
1,2,0,0.2793666666666666
1,2,1,0.24901666666666675
1,2,2,0.24193333333333325
1,2,3,0.22495000000000007
1,2,4,0.22723333333333343
1,2,5,0.4397
1,2,6,0.7069166666666669
1,2,7,0.8313833333333331
1,2,8,0.4257999999999996
1,2,9,0.2425666666666668
1,2,10,0.2262833333333333
1,2,11,0.24071666666666672
1,2,12,0.3326666666666666
1,2,13,0.5151833333333333
1,2,14,0.50935
1,2,15,0.5173833333333333
1,2,16,0.83895
1,2,17,0.7263333333333334
1,2,18,0.5115333333333332
1,2,19,1.0509166666666665
1,2,20,3.5672833333333327
1,2,21,3.131833333333333
1,2,22,0.7087833333333333
1,2,23,0.4430333333333332
1,3,0,0.2510166666666667
1,3,1,0.2482833333333332
1,3,2,0.24028333333333318
1,3,3,0.24825
1,3,4,0.34245000000000003
1,3,5,0.8051333333333331
1,3,6,0.7337833333333331
1,3,7,0.7881000000000001
1,3,8,0.4964333333333333
1,3,9,0.24498333333333333
1,3,10,0.23514999999999991
1,3,11,0.24903333333333322
1,3,12,0.24801666666666675
1,3,13,0.8790666666666666
1,3,14,0.7716833333333332
1,3,15,0.43338333333333334
1,3,16,0.46685000000000004
1,3,17,0.6004333333333335
1,3,18,0.45793333333333325
1,3,19,0.6077666666666666
1,3,20,0.6929833333333334
1,3,21,0.9636499999999999
1,3,22,0.7354499999999999
1,3,23,0.7533166666666667
1,4,0,0.3299999999999999
